old_colnames,new_colnames
Add.Info,add_info
Age,age_code
B.Coordinate.Precision,b.coordinate_precision
B.Day.Code,b.day_code
B.Dir,b.dir
B.Flyway,b.flyway
B.Lat,b.lat
B.Long,b.long
B.Month,b.month
B.Region,b.region
B.Year,b.year
Band.Prefix.Plus,band_prefix_plus
Band.Size,band_size
Band.Type,band_type
Count.of.Birds,count_of_birds
Country_code,country_code
GISBLat,GISBLat
GISBLong,GISBLong
How.Aged,how_aged
How.Sexed,how_sexed
Permit,permit
Sex,sex_code
Sp..Num.,sp_num
State_code,state_code
Status,status_code
Age..VAGE,age
AI..VAI,VAI
BType..VBtype,btype_vbtype
BType..VText,btype_text
coord_precision..LOCATION_ACCURACY_DESC,location_accuracy_desc
DayCode..Day.Span,day_span
How_aged..How.Aged.Description,how_aged_desc
How_sexed..How.Sexed.Description,how_sexed_desc
Location_lu..COUNTRY_NAME,country_name
Location_lu..STATE_NAME,state_name
Month..VMonth,month_name
Permits..Permittee,permittee
Region..Flyway,flyway
Region..State,state
Sex..VSEX,sex
Species.Game.Birds..SPEC,SPEC
Species.Game.Birds..Species,species
Status..VStatus,status
GISRLong,GISRLong
GISRLat,GISRLat
Object_Name.E,e.object_name
MARPLOT.Layer.Name,MARPLOT_layer_name
MARPLOT.Map.Name,MARPLOT_map_name
symbol,symbol
color,color
idmarplot,idmarplot
B.Day,b.day
b_country_code,b.country_code
b_state_code,b.state_code
Band,band
Band.Type.Current,band_type_current
Band.Type.Orig,band_type_orig
Cardinal.Direction,cardinal_direction
Distance,distance
e_country_code,e.country_code
e_state_code,e.state_code
How.Obt,how_obt
Hunt..Season.Surv.,hunt_season_surv
Marker_Desc_bndg,b.marker_desc
Marker_Desc_enc,e.marker_desc
MIN_AGE_AT_ENC,e.min_age_at_enc
Pres..Cond.,pres_cond
R.Coordinate.Precision,r.coordinate_precision
R.Create.date.Month,r.create_date_month
R.Create.date.Year,r.create_date.year
R.Day,r.day
R.Dir,r.dir
R.Flyway,r.flyway
R.Lat,r.lat
R.Long,r.long
R.Month,r.month
R.Region,r.region
R.Year,r.year
Replaced.Band.Code,replaced_band_code
Replaced.Band.Translated,replaced_band_translated
Same.Block,same.block
Who.Reported,who_reported
Why..pre.1994...Report.Method..after.1994.,why_pre_1994.report_method_after_1994
B.Coord.Precision..LOCATION_ACCURACY_DESC,b.location_accuracy_desc
BDay..VRDay,b.day_vrday
BMonth..VMonth,b.month_name
BRegion..STA,b.state_name_short
BRegion..State,b.state_name
BType.Current..VBtype,btype_current_vbtype
BType.Current..VText,btype_current_text
Condition..VBandStatus,condition_band_status
Condition..VCondition,condition_condition
How.Obt..VHow,how_obt_text
Location_lu_enc..COUNTRY_NAME,e.country_name
Location_lu_enc..STATE_NAME,e.state_name
R.Coord.Precision..LOCATION_ACCURACY_DESC,r.location_accuracy_desc
RDay..VRDay,r.day_vrday
Rept.Mthd..VRept.Mthd,rept_method_text
RFly..Flyway,r.flyway_name
RMonth..VMonth,r.month_name
RRegion..STA,r.state_code
RRegion..State,r.state_name
Who..VWho,who
